0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2.8750587,2.4986625,-0.28104547,-0.054066952,0.40390697,-0.031438746,1.3446672,0.03163737,-0.023079742,-0.0057861293,-0.83678526,-0.5005995,-0.92651194,-0.87690395,0.003496026,-0.7393082,-0.67498624,0.894355,-1.4285991,-0.46247315,-0.77060974,-1.4228162,0.36799988,-1.0423113,-0.51684654,0.36799988,-0.36799988
-0.56454015,-0.74122715,-1.0280137,-0.59382135,-1.3630805,0.2722184,-0.5959413,-1.1122037,-0.114419706,-0.49302292,-0.64235705,-0.35396641,0.0046081184,0.15262271,-0.29891995,0.20023145,-0.67498624,-1.1181242,0.72923297,-0.46247315,1.2976737,1.6194001,0.36799988,0.45888558,-0.51684654,0.36799988,-0.36799988
-0.94730574,-0.74122715,-1.0280137,-0.32394415,1.2874007,0.6469263,1.880865,0.9059707,-0.98214936,0.13447902,0.9213173,2.981936,5.5913286,4.353615,0.6791248,6.8897533,-0.67498624,0.894355,0.72923297,2.1622877,-0.77060974,-0.40874407,0.36799988,0.45888558,-0.51684654,0.36799988,-0.36799988
0.7142851,1.4186991,0.83940685,0.21581024,0.14622131,0.47944963,0.50005656,-0.8709002,0.79897994,-0.3859785,-0.2252201,0.058439106,0.28298423,-0.3272414,-1.1056539,-1.0587516,1.4815117,0.894355,0.72923297,2.1622877,1.2976737,0.6053281,-2.7173922,-1.0423113,-0.51684654,-2.7173922,2.7173922
0.16747704,1.4186991,0.09243862,-0.59382135,-0.59002346,-1.0088089,0.63390803,0.14445457,-0.4341096,-0.083301075,-0.2275768,0.33032125,-0.9409107,0.66738605,1.5653958,-0.40859023,-0.67498624,-1.1181242,-1.4285991,-0.46247315,1.2976737,0.6053281,0.36799988,1.9600825,-0.51684654,0.36799988,-0.36799988
-1.1369246,-1.8211904,0.0024111795,-0.86369854,1.0665272,2.458719,0.5190651,2.112488,-1.0278194,3.179709,0.0023570717,2.7619865,1.1853068,2.0197303,0.0028308118,1.4742471,-0.67498624,0.894355,0.72923297,2.1622877,-0.77060974,-1.4228162,0.36799988,-1.0423113,-0.51684654,0.36799988,-0.36799988
3.9333968,3.5786254,0.4659227,0.21581024,0.40390697,0.10938966,-0.2664038,-1.6198812,2.9454691,-0.39336085,-0.6517838,-0.8519079,0.5709595,-0.6980455,-0.47460088,-0.9234579,1.4815117,0.894355,0.72923297,-0.46247315,-0.77060974,-0.40874407,-2.7173922,0.45888558,2.548084,-2.7173922,2.7173922
-1.2039527,-1.8211904,1.9598591,1.295319,0.9929028,-0.9977198,0.28470147,-0.04670791,-0.25142965,0.08649357,-0.85917395,0.003451701,1.310096,-0.7067703,0.40817404,-0.9196997,1.4815117,0.894355,-1.4285991,-0.46247315,-0.77060974,-1.4228162,0.36799988,-1.0423113,-0.51684654,0.36799988,-0.36799988
-0.5204427,-0.74122715,0.4659227,0.21581024,-1.1053948,-0.35158983,0.22284941,-1.0714642,0.29661015,-0.6185233,-0.14391375,-0.67167145,-0.081784464,-0.7940183,-0.83033293,-0.427381,-0.67498624,0.894355,0.72923297,-0.46247315,1.2976737,0.6053281,-2.7173922,0.45888558,2.548084,-2.7173922,2.7173922
-1.2745086,-0.74122715,0.4659227,0.21581024,-0.3323378,-1.6478422,0.029596427,0.9655131,-0.70812947,0.3448767,-0.4055081,1.9982725,0.6285545,0.24859555,0.52704275,0.71134096,-0.67498624,-1.1181242,-1.4285991,-0.46247315,1.2976737,-1.4228162,0.36799988,-1.0423113,-0.51684654,0.36799988,-0.36799988
